笔画,吉凶,女命,最吉,卦,天九,义象,基业,家庭,健康,含义
11,吉,,,离离,旱苗逢雨,万物更新，调顺发达，恢弘泽世，繁荣富贵,财星、天佑、暗禄、文昌、技艺、田宅。,养蜂结蜜，事事和顺，处处温和。,河川永在，可望健康长寿。,旱天降雨之象。阴阳复新，享天赋之幸福。万事顺利发展，稳健着实。有得富贵繁荣，再兴家业的暗示。为能挽回家运平静和顺的最吉数。
12,凶,,,巽离,掘井无泉,无理之数，发展薄弱，虽生不足，难酬志向,凶星、破厄、劫煞、时禄。,亲情如秋水，骨肉似寒炭，施恩招怨恨，宜提高气节。,枯木待春，小心患神经衰弱、胃癌之疾，外伤、皮肤病。“三才”善良者可安全。,无理伸张之象。妄顾自身薄弱无力，企图做力不从心的事，反致失败。遇事易生不足之心。家庭缘薄，孤苦无依，一生寂寞。陷于孤独、遭难、逆境、病弱、不如意等困境中，或因其他运的配合不善而导致意外的失败，甚至有不能完寿的悲运。
13,吉,,,坎离,春日牡丹,才艺多能，智谋奇略，忍柔当事，鸣奏大功,天官、文昌、技艺、进财、学士、田产、财库。,祖宗馀荫，子孙孝顺，可望团圆。,身心健康，可望长寿。先天五行不合者不遇。,天地溢现瑞气，享天赐之福，处处充满吉兆。富学艺才能，有智谋奇略。忍柔当事，任何难事皆巧于措置而奏大功，为得享福贵荣华的好诱导。得贵人相助，受惠丰厚，易得信用，建功立业，富贵双全，一生享福。
14,凶,,,兑离,破兆,家庭缘薄，孤独遭难，谋事不达，悲惨不测,暗禄、美貌、艺术、流浪、红艳、劫财。,骨肉疏远，离祖迁居。自家兄弟全无份，外处交友却有缘。,皮肤病、感冒、风邪，先天五行相合者则健康。此数之男女均属好貌。,浮沉不定，多破兆。家属缘薄，六亲无靠，骨肉分离，丧亲亡子、孤独、不如意、烦闷、危难、遭厄、灾祸迭至。为人慷慨，施恩招怨，劳而无功，辛苦凄惨。若其他运数配合不宜者，有伤天寿。然此数之人颖悟非凡，若“三才”配置善良者也会有极少数的怪杰、伟人成就大业。
15,吉,,,中离,福寿,福寿圆满，富贵荣誉，涵养雅量，德高望重,天官、贵人、福星、官禄、祖基、进田、畜产。,清净家风，圆满之象，子孙昌盛。,海底明珠，安稳馀庆，健康自在。,最大好运，福寿圆满之象。顺和、温良、雅量。集上下之信，令人敬慕，多受福泽，德高望重，自成家业，富贵荣华。为吉祥有德，繁荣兴家的吉数。
16,吉,,,震离,厚重,厚重载德，安富尊荣，财官双美，功成名就,天官、贵命、豪杰、进田、学士、豪侠、基产。,春日花开，可望家庭圆满。男子有贤妻，女子不宜早婚。,花草逢春，易溺于色情，戒慎者可望健康长寿。,反凶化吉象。位尊望重，建立基业。雅量厚重，足智多谋，善于协调，所谋如意，家门繁荣，福禄寿俱全。为大事大业可成，富贵发达的好暗示。属温和之首领运数。　
17,半吉,,,乾离,刚强,权威刚强，突破万难，如能容忍，必获成功,天官、将星、威武、艺术、文昌。,可望圆满，女性能涵养女德则贤慧。,身心健康，可望长寿。,权威刚强，意志坚定，勇往直前，具有突破万难的气力。成就大功大业，但因赋性过刚，自我心强而恐与人不和，反招事非厄患，遂致失败，慎戒则为吉。女性有此数者易流于男性，宜涵养女德，存主温和，福禄自然随之。先天条件弱的妇女反用此数为妥。
18,半吉,,,坤离,铁镜重磨,权威显达，博得名利，且养柔德，功成名就,将星、文昌、太极、畜产、财帛、技艺。,有祖宗庇荫之福，心慈口硬，宜守和平，可望圆满。,身心健康如万年之蛇，可望长寿。,铁石心发达运具备，有权力智谋。颖性非凡，志望一立必破万难达到目的，成就功业，博得名利。惟自信心过强而又乏包容之心，恐招事非诱发非难。宜养柔德，且慎勿骄。
19,凶,,,艮巽,多难,风云蔽日，辛苦重来，虽有智谋，万事挫折,官禄、进田、红艳、财帛、智谋、凶危、破财。,兄弟成吴越，须思手足情。,病弱、废疾、刑罚、杀伤、短命，先天五行属金水者可望安康。,风云蔽月之象，有才智多谋略。虽有成就大业，博得名利的实力，但因其过刚而频生意外的灾患，内外不和，一败涂地，困难苦惨不绝。若主运有此数，又乏其他吉数以助，多陷病弱、废疾、孤寡甚至夭折，妻子死别、刑罚、杀伤等灾。为万事挫折非命至极，故也叫短命数。若先天有金水者，可成巨富、怪杰、伟人。
20,凶,,,离巽,屋下藏金,非业破运，灾难重重，进退维谷，万事难成,官星、部将、美术、智慧型、红艳、凶危。,亲情不立，兄弟相隐，离祖败家，凡事善忍则家中和平。,泥身进海，难以为继。三才配置不善者命运多难、病弱。金木者安全。,物将坏之象。破败衰亡之数，具有短命非业的诱导。危机四伏，灾难迭至，凶祸频临，一生不得安宁，不如意，万事难成，陷于逆境。或导致病弱、短命、非业、破灭，或幼时别亲，而陷困苦，或叹子女不幸，或男女失偶。
21,吉,凶,,巽巽,明月中天,光风霁月，万物确立，官运亨通，大搏名利,天官、太极、文昌、哲学、艺术、财库、福禄、首领、君臣、富翁。,六亲和睦，有子嗣之惠，女性反为不吉，用则破夫运。,秋月芙蓉，壮年健壮，长寿。,光风霁月之象，万物形成自立之势。独立权威，能为首领之运。为人尊仰，享受富贵荣华。路径属迈进发展，中途难免相当苦心步步而进，宛如登梯。立业兴家，大博名利，寿禄丰厚，乃贵重的吉数。女性得此数者，易招灾害，故不宜之。按《易经》观点女性属阴应助男性，是为先天的补数，如具备首领之运，即妻凌夫之格。阴阳生出暗斗，自然不得安宁，故夫妻难免时常反目，或喜极生悲，且妇德不备，家庭不圆满，妻便克夫，所谓两虎相斗，必无双全者慎之戒之。
22,凶,,,坎巽,秋草逢霜,秋草逢霜，困难疾弱，虽出豪杰，人生波折,远洋、天乙、君臣、将星、劫煞、破财。,六亲无力，自立成家。,常有暗疾，难医或短命。,秋草逢霜之象，脆弱无力。骨肉离散，孤独生涯，百事不如意，徒劳无功，懦弱病弱，挫折困难，孤寂乏力，逆境不平，为此数者人生的写照。但也有伟人、豪杰出此数者，不过其人生多波折。
23,吉,凶,,兑巽,壮丽,旭日东升，壮丽壮观，权威旺盛，功名荣达,首领、君臣、文昌、暗禄、财库、进宅、学士。,男性可望家庭圆满。女性则香闺零落，人格有此数多克夫。,男性可望健康，女性则有孤独之苦。,伟大昌隆之运，威势冲天之象，赫赫首领之数。微贱出身，砥志奋斗，克服万难，成就大志大业，功名荣达，终至首领。有如凯旋之将，猛虎添翼之势。权力旺盛，胜事恐过度而为憾，然而感情锐利，壮丽可爱，实属贵重的运数。此数不适宜女性，其理由同于二十一数，凡主运有此数者，难免转成香闺零落。
24,吉,,,中巽,掘藏得金,家门馀庆，金钱丰盈，白手成家，财源广进,天官、福星、文昌、私营企业、财库、君臣、工商、富翁。,不依祖业而立身，家庭圆满，兄弟和睦，但应保持清正无私。,松柏常青，可望长寿。,天赋幸遇，才略智谋出众。勤俭建业，克服困难，白手起家。财源广进，兴家积蓄，到老愈丰，为子孙继承馀庆的福运之数。
25,半吉,,,震巽,荣俊,资性英敏，才能奇特，克服傲慢，尚可成功,君臣、首领、福星、文昌、私营企业、时禄、技艺、财库、进田。,平和而谦虚者，家庭圆满，子孙昌盛。,健康自在，“三才”善良者可望长寿。,资性英敏，有独特的才能。慎重行事，自能成就大业而获成功。因其性情言语偏激，脾气古怪，与人交往欠谦虚，意气用事，傲慢无礼，恐弄吉反凶。慎戒之则吉。
26,凶,,,乾巽,变怪,变怪之谜，英雄豪杰，波澜重叠，而奏大功,豪杰、郡臣、官禄、侠义、红艳、财库、凶危。,亲情无义，妻子无助，若子女温顺可得圆满。,大多破家病弱，先天带金者可望平安，男子有双妻之虑。,属波澜重叠，数奇变怪的英雄运格。秉性颖悟，富有义气侠情。然而变故常多，风波不息，大功不成，破产亡家，好运难遂。又因为他格的配合不宜，或陷放逆、淫乱、短命之中，或丧配偶枕边寒，或丧子女膝下零丁。英雄不成英雄祸，为大都不得顺境的运数。不少怪杰、烈士、伟人则有出自此数。
27,凶,,,坤巽,增长,欲望无止，自我强烈，多受毁谤，尚可成功,天官、将军、师长、学士、文昌、凶厄、破财、废疾。,六亲不得力，兄弟疏远。,肺病、刑罚、心脏病、短命，先天五行为水土者，可望安全。,欲望无止境，自信心过强，不容他人言语，多受诽谤攻击，而易致失败。始以其智谋，努力奋斗博得名利。待过中年，势渐趋下，内外酿出不和，难以发达到老，假使自身温顺富有，也不免内部背后是非不息。大多为半途中折之象。或因其他运的关系而陷于刑罚、孤独、死于逆难等。
28,凶,凶,,艮坎,阔水浮萍,遭难之数，豪杰气概，四海漂泊，终世浮躁,天官、将星、官星、学士、红艳。,亲戚多忌怨，兄弟少联络，子女别离。,病灾、伤害、废疾、发狂。“三才”善良者无大害。,虽有豪杰气概，也难免非难诽谤。危难袭来而致伤害，空虚灭亡，祸乱别离。或丧失配偶，相克子孙，也有自幼别亲者，争论不和、逆难、刑罚等灾祸相接，终身辛苦不绝，堪称遭难运。女性有此数者多陷孤寡或难成家。
29,半吉,,,离坎,智谋,智谋优秀，财力归集，名闻海内，成就大业,天官、太极、君臣、天厨、将星、财帛、文昌、深谋、富翁。,乏祖力，地格为火时，有乏子息或不和。,先天五行为金木而“三才”善良者可望安康，为土火者有病弱之虑。,智谋优秀，奏功受福之数。财力活动力俱备，成就大业之兆。但是不足不平的念头不绝，任意从事欲望无止境，多易弄巧成拙，招非致祸。女性若有此数者都流于男性，或者酿出荒唐猜疑之灾，切要慎戒之。
30,半吉,,,巽坎,非运,沉浮不定，凶吉难变，若明若暗，大成大败,官星、将相、文昌、豪放、红艳、血支、灾厄。,亲情疏淡，夫妻不相合，难同白头。,刑罚、外伤、废疾。先天五行为金木者可安然。,浮沉不定，凶吉难分，两者并行。因其他运的配合，或者成大功，或者遭失败。故乘吉运者，成功自至。数理不良者，不知不觉之间陷于失败。其遭遇不可测，突然别开生面者有之。诱发的投机心就像开矿探险一样，大成大败，都有些侥幸。另外也有孤独、丧失妻子、短命者。
31,吉,,,坎坎,春日花开,智勇得志，博得名利，统领众人，繁荣富贵,太极、君臣、将星、学士、文星、田宅、祖业。,子女多荫，可望幸福，地格被克者则不遇。,身心健康，可望长寿.,如龙升天，智仁勇俱备。意志坚固，千挫不挠，脚步踏实，可成大志，为能成就大业的运格。可统率众人，博得名誉，繁华富贵，福泽绵长。属温良平静、威力强大的首领运数。
32,吉,,,兑坎,宝马金鞍,侥幸多望，贵人得助，财帛如裕，繁荣至上,天德、月德、君臣、将星、文官、学士、文昌、进宅、祖业。,家门隆昌，可望圆满，子孙旺盛，男有双妻之格。,可望安康，“三才”不善者有病患。,侥幸多望之格，常得长上之庇护。若能得长辈提掖，其成功将势如破竹。且此数理者品性温良，大有爱护他人之德。家门隆昌繁荣，为至上的吉数，最适合女性用。
33,吉,凶,,中坎,旭日升天,旭日升天，鸾凤相会，名闻天下，隆昌至极,天官、臣将、部长、文昌、学士、田宅、富翁。,可望圆满，幸福。女性用则孤寡。,可望健康，“三才”不善者有略患。,鸾凤相会，昭日升天之象，形成确定之意。多功威智谋，刚毅果断有如旭日东升，旺盛隆昌至极，属名闻天下的吉祥运。若过刚恐招事非而误事。因其过于贵重，常人恐不堪受。但又是物极必反，尊荣的反面为黑暗，故勿轻用之。女性断不可用，用则孤寡。
34,凶,,,震坎,破家,破家之身，见识短小，辛苦遭逢，灾祸至极,臣将、君臣、文昌、学士、破财、凶厄、破灭。,家缘薄，流离，忍耐可保平安。,短命、杀伤、刑罚、脑溢血、麻痹、发狂，先天五行“三才”善良者也可得安康。,属破坏的凶兆。乱离的祸象颇强，凶煞一到，便接踵而至，万事难以成功，内外破乱凶。衰败悲痛无限。加因其他数的配置关系，有病弱短命、丧失配偶、子女离别、刑罚、杀伤、或致发狂。灾祸至极，实为破家亡身的最凶数。
35,吉,,,乾坎,高楼望月,温和平静，智达通畅，文昌技艺，奏功洋洋,将相、学士、文昌、艺术、财库、田宅、工商、温柔。,上流家庭，可望圆满。,安稳馀庆，健康自在。若被天格克者，病苦亦有之。,温良和顺之象。有智达的能力，在文艺技术方面定能发展，取得成功。若怀大志成就大业者，须用最大气力，以补不足之威势。因其缺少胆略气魄，故此数实为保守平安的吉数。此数最适合女性，男性用则倾向消极。
36,凶,,,坤坎,波澜重叠,波澜重叠，沉浮万状，侠肝义胆，舍己成仁,将星、学士、文昌、文相、破厄、凶煞、崩山、劫财。,六亲不得力，夫妻离合，子息宜迟，多做善事以积德。,短命、病重、外伤、废疾，“三才”善良者可望安康。,波澜重叠，浮沉万壮的英雄运，侠气义情敦厚舍己成仁之格。一生难得平安，辛苦困难甚多。袖手不动则不致大害，若愈活动即愈生波澜，大变动则大衰，甚或酿成失败沦落。与其他运配合不善者，或病弱、短命、孤寡、厄难等无所不至。
37,吉,,,艮兑,猛虎出林,权威显达，热诚忠信，宜着雅量，终身荣富,将星、官禄、文昌、艺术、权威、祖业。,和睦圆满。女性略有刚强，宜守女德，则无大过。,可望健康长寿。先天五行为火或人格被克者，易患肺病，少数为心脏病。,独立、单行、权威、忠实、奏功无比之象。和畅通达，热诚忠烈，得众信，破万难而成大业。慈祥有德，善发挥才智，享受天赐之福，终身富荣之极。但因其权威独断独行，难免有孤独之憾，故宜涵养雅量，留神平和。
38,半吉,,,离兑,磨铁成针,意志薄弱，刻意经营，才识不凡，技艺有成,将星、学士、臣将、神童、技艺、凶煞、伤害。,亲眷冷谈，兄弟无肋，宜平和可圆满。,灾祸、外伤、肺病，“三才”善良者尚平安.,非无大志，实乏统率的威望，缺乏首领的才干。属于有志而乏其力，不得众信。薄弱平凡之象。自然易陷于不幸失意难以成功。但向文学、技艺方面发展，则有较强的上进能力，可望成功。此数为艺术成功数。
39,半吉,,,巽兑,富贵荣华,富贵荣华，财帛丰盈，暗藏险象，德泽四方,臣将、文昌、艺术、智慧型、财库、进田。,安宁自在，可望圆满，后代昌盛，“三才”被克者则不圆满。,可望安康，“三才”不善者有病弱。,为祸乱一过，反成幸福的贵重之数。权威福寿，财帛丰富，德泽四方，财富盈身，富贵至极。暗藏悲惨凶象，所谓物极必反，故切勿轻用之。女性若有此数者必陷孤寡。
40,凶,,,坎兑,退安,智谋胆力，冒险投机，沉浮不定，退保平安,将星、豪杰、文昌、学士、胆量、凶灾、厄祸、劫财。,亲情疏远，兄弟分离。,凶病、胃病、外伤、残废、刑罚，“三才”善良者可弥补。,富智谋和胆略，但有不逊之心，易受诽谤攻击，处于浮沉吉凶的歧路上。好冒险投机，知进不知退，虽得一时成功，最终难免失败。他运配合不宜者，恐有酿刑伤犯罪，病弱短命。退之可保平安。
41,吉,,最吉,兑兑,有德,纯阳独秀，德高望重，和顺畅达，博得名利。此数为最大好运数,将星、太极、名人、学者、学士、官禄、财库、福星。,家庭圆满，子孙旺盛，地格被克者不遇。,可望健康长寿，“三才”不善者不遇。,纯阳独秀的吉数。胆力才谋具备，礼仪有德，健全和顺，能成就大志大业，实为博得名利富贵的最大好运数。
42,凶,,,中兑,寒蝉在柳,博识多能，精通世情，如能专心，尚可成功,君臣、部将、官星、文昌、劫煞、灾厄、凶变。,亲情无义，朋友无缘，妻子反目。“三才”善良者则无妨。,病弱、孤独，先天五行为火水且“三才”善良者可望安康。,博识多能，有技艺，精通世情，无奈十艺九不成。意志薄弱，缺乏自我奋发之念，大事不成，为寂寞悲苦之象，散漫失意之状。发奋进取或可成功，不然必败孤苦。此数中也有孤独病弱者。
43,凶,,,震兑,散财破产,散财破产，诸事不遂，虽有智谋，财来财去,将相、文星、艺术、学者、凶星、灾厄、伤残。,妻弱无肋，子多不莠，心心不相印。“三才”者则无防。,病弱、外伤、短命，“三才”善良者可平安。,散财破产运，有如夜雨花落，薄弱散漫之象。虽有才智，但意志薄弱，诸事不能遂。外观幸福，内多困苦。表面俨然成事，里面不堪构想。如果女性有此数理且加上其他格的关系，易陷荒淫而不能善终。
44,凶,,,乾兑,烦闷,破家亡身，暗藏惨澹，事不如意，乱世怪杰,文昌、学士、财库、破财、灾厄、凶厄。,骨肉相疏，兄弟不和，能忍则平和。,发狂、刑罚、病灾、烦闷、遭难、短命，先天五行为土木者可望安康。,秋木落叶，破家亡身的最恶数。暗藏惨澹之运，破坏乱离之意，万事不能如意。逆境、烦闷、劳苦、病患、废疾、遭难、家属生离死别，或因其他运的关系而致发狂、短命。但怪杰、伟人、烈士、孝子、大发明家等，往往也出自此数。
45,吉,,,坤兑,顺风,新生泰和，顺风扬帆，智谋经纬，富贵繁荣,部将、君臣、文昌、学士、艺术。,可望圆满，子孙满堂。“三才”不善者不遇。,安康长寿，人格被克者不遇。,顺风扬帆之象。经纬深，智谋大，德量宏厚，可遂大志大业，博得名利，富贵繁荣至极。若与其他运的凶数结合，即如浪中失舵之船，易遭灾难。
46,凶,,,艮中,浪里淘金,载宝沉舟，浪里淘金，大难尝尽，大功有成,臣将、将星、官星、学士、豪杰、文昌、凶厄、崩山。,亲多而乏子息，“三才”善良者可弥补。,刑罚、病弱、短命、外伤、暗伤、孤独，“三才”善良者可望健康。,载宝沉舟之象。心力不济，意志薄弱，倾家荡产，悲哀困苦，破坏失败。然而也有大艰难尝尽后而又成功者，但难免于不幸的命运，故说生在富贵也败亡。或依其他运的关系，致陷于孤独，刑罚，病患，短命等灾祸之中。
47,吉,,,离中,点石成金,花开之象，万事如意，祯祥吉庆，天赋幸福,君臣、将星、文昌、学士、艺术、高傲、食禄、财库。,家庭圆满，然时有争执，“三才”善良者可和睦相处。,可望健康长寿，“三才”不善者也有病弱、短寿的可能。,开花之象。祯祥吉庆之数，可享天赋的幸福。能得长上之提拔，或与他人合作而大事大成。真乃进可以攻，退可以守，永远福禄于子孙之吉运也。
48,吉,,,巽中,古松立鹤,智谋兼备，德量荣达，威望成师，洋洋大观,将相、官禄、文昌、智谋、学士、技艺、财库。,家庭圆满，子孙满堂。“三才”不善者不遇。,良好，可望长寿。“三才”不善者不遇。,才能谋略齐备，坚刚有德。享天之福，为功利荣达的吉数。宜为人的顾问，威望洋洋，乃师数也。
49,凶,,,坎中,转变,吉临则吉，凶来则凶，转凶为吉，配好三才,臣相、将星、文昌、智谋、学士、凶星、散财。,六亲不得力，子息宜迟。,凶灾、病患、外伤、短命，“三才”善良者可补救。,处吉凶之歧路。吉临则吉又生吉，凶来则凶又变凶，成败得失极其浩大，为易生变化之运格。其幸福与否，依赖“三才”之配合及他运的关系而定，但多陷于灾祸困苦之中。
50,凶,,,兑中,小舟入海,一成一败，吉凶参半，先得庇荫，后遭凄惨,将官、文昌、财钱、灾厄、离愁、散财。,亲眷多而无助。,刑罚、杀伤、意外之灾、外伤、白痴、狂癫等。“三才”善良者则无妨。,成与败之象。先得“5”字的数理庇荫而成大业，享受富贵，后由盈数(10)的暗示诱导而陷失败。晚年破家亡身，凄惨至极。若其他运又有凶数者，则是惨上加惨，杀伤、离愁、孤寡频临，甚至刑罚。
51,半吉,,,中中,沉浮,盛衰交加，波澜重叠，如能慎始，必获成功,文昌、学士、节度、时禄、劫煞、败退。,时有争执，宜守和平，“三才”善良者可得圆满。,人格被克者，有灾厄病患，“三才”善良者安康自在。,一盛一衰之象。虽有一时之幸遇，可得一时昌盛和名利，奈因自然的凶兆和缺乏实力，晚年难免挫折困苦，遂至失败。
52,吉,,,震中,达眼,卓识达眼，先见之明，智谋超群，名利双收,元帅、医师、文昌、技艺、财库、官禄、财星。,幸福，顺从行孝，子女和睦。“三才”不善良者则不遇。,可望安康长寿，人格被克者不遇。,哲人知机，有先见之明，一跃成功之象。势力强大，有谋略，富投机心，有回天之手段，能实现大志大业而名利双收。
53,凶,,,乾中,曲卷难星,外祥内患，外祸内安，先富后贫，先贫后富,伟人、学士、时禄、磨难、灾厄、劫煞。,亲眷薄情，乏子息。,病灾、祸患、外伤、刑罚。“三才”善良者或可弥补。,外观俨然吉庆祯祥，内实障害祸患甚多。若非前半生不幸而后半生幸福，便是前半生富贵而后半生落魄，为吉凶互换，盛衰参半的运数。一旦陷入凶煞，大多破家亡身，即使得吉数他运相救，也仅保稍安而已。
54,凶,,,坤中,石上栽花,石上栽花，难得有活，忧闷烦来，辛惨不绝,文昌、技艺、凶灾、劫煞、时禄、灾厄。,父母如过客，兄弟似残星。若和睦相处，亦可无大过。,病灾、遭难、伤残、短命、刑罚，“三才”善者可望健康。,自陷薄幸，为凶煞的暗示。悲惨不绝，不和、损伤、忧闷频来，遂致倾家荡产。或陷废疾、刑罚、横死短命。
55,凶,,,艮震,善恶,善善得恶，恶恶得善，吉到极限，反生凶险,官星、技艺、文昌、学者、灾厄。,亲眷相忌，父母老病，尽心忠孝可无大过。,“三才”善者可望安健，否则不遇。,五数为最吉数，五上添五，乃是最吉相叠，吉之极而反生凶。表面颇为隆昌，而内里灾祸迭生，凡事不能安心，危难、别离、病患等无所不至，为吉凶相伴的运格。意志薄弱者，绝无立身之地。善能振雄威，矢志不懈努力奋斗，克服万难者也可能有成功之日。
56,凶,,,离震,浪里行舟,历尽艰辛，四周障碍，万事龃龌，做事难成,豪杰、文昌、时禄、文艺、红艳、灾厄、伤残。,不可靠亲享福，宜离祖自立。,外伤、病患、残废、短命，“三才”善者可望健康。,凡事缺乏实行的勇气和进取的精神，不能达成愿望。易遭意外损失、灾厄、亡身，祸不单行。万事龃龉，精力不足，乃晚景最凶的运格。
57,吉,,,巽震,日照春松,寒雪青松，夜莺吟春，必遭一过，繁荣白事,官禄、文昌、学士、艺能、时禄、财库、进田。,父母尊严，时有冲突，“三才”善良者可和睦圆满。,健康自在，可望长寿，“三才”不善者不遇。,寒莺逢春生机之象。资性刚毅，胆智过人，事业成功，享天赋之富贵幸福。但一生必遭大难一次，然后得享吉祥繁荣，万事如意。
58,半吉,,,坎震,晚行遇月,沉浮多端，先苦后甜，宽宏扬名，富贵繁荣,官禄、文星、学士、技艺、灾厄、伤残。,亲情少，兄弟疏。须互相信任。,伤残、刑罚、外伤，“三才”善良者可望平安长寿。,浮沉多端，祸福无常。天赋福份，必经大失败、大患难、家产荡尽，然后发奋再创业，方得富贵繁荣。晚年享受饴庆之福，为先苦后甘之格。
59,凶,,,兑震,寒蝉悲风,寒蝉悲风，意志衰退，缺乏忍耐，苦难不休,官星、福星、文昌、智慧型、灾厄、伤残、财库、破厄。,亲情无缘，子女离乡别井。,病患、刑罚、外伤，“三才”善良者可望平安。,破家败产之数，意志衰退之象。乏耐心缺勇气，无成事之能力，遂致破家败产，灾患不绝，愁苦一生。
60,凶,,,中震,无谋,无谋之人，漂泊不定，晦暝暗黑，动摇不安,官星、将星、文昌、智慧型、技艺、灾厄、伤残。,祖宗无基，亲友无情，兄弟无缘，“三才”善良者可弥补。,刑罚、外伤、病疾、短命。,晦冥黑暗，摇动不安的凶兆。方向不定，遭尽风波的运格。无谋无计如坠五里雾，行事不成，成功无望，失败困苦。易陷于刑罚、杀伤、疾患、短命等。
