卦序,索引,上卦,上数,下卦,下数,吉凶,卦象,卦名,卦意（邵雍）,符号,初爻（邵雍）,初爻吉凶,初女命,二爻（邵雍）,二爻吉凶,二女命,三爻（邵雍）,三爻吉凶,三女命,四爻（邵雍）,四爻吉凶,四女命,五爻（邵雍）,五爻吉凶,五女命,上爻（邵雍）,上爻吉凶,六女命,用九、六（解说）,用吉凶
11,坤乾,坤为地,7,乾为天,0,,泰,地天泰,否极泰来，鸿运当头，诸事皆顺，但须防乐极生悲。,䷊,志同合谋，财利日增。做官的会逐步升迁。,吉,,会有好运，必遇尊贵，但要防长上有损，言语有伤。做官的会身居高位，功名显达。,吉,,须谨慎自持，宜保守，则安，不然会犯小人，事事遇阻。做官的会比较艰难，须防小人和别人的妒忌。,平,,营谋失利，退守可平安。做官的进取难成，宜退守。,平,,会得到别人的赏识和抬举，或结婚生子，幸福安乐。做官的或能升迁，或有喜事。,吉,,会有破损，有疾病，谨慎厚道者可免祸。做官的会被贬职。,凶,,,
12,乾坤,乾为天,0,坤为地,7,,否,天地否,万物闭塞之象，上下不合，诸事不顺，凡事宜忍，须待时运好转而有为。,䷋,宜守旧，小人得势之时，爻辞虽好，但须谨防小人牵连之事。做官的受职者待缺，当权者防扰。,平,,宜忍耐，宽容待人，不然会生是非。做官的宜低调行事。,平,,须防是非争诉之扰。做官的会退休离职。,凶,,家产日增，吉庆安乐。做官的会得到朋友和同僚之助，或升迁，或进财。,吉,,旧祸已去，好运将至，诸事皆吉。做官的会身居重位。,吉,,将会转好运，久困者利可期，久讼者讼事解。做官的失职者复职，闲缺者会走马上任。,平,,,
13,乾离,乾为天,0,离为火,2,,同人,天火同人,吉祥如意，与人合作共事更佳，上下同心，谋事有成。,䷌,能与人合伙经营获利，或出家远行，或修造门户，或在他处学习。做官的或会受到重用，或有升迁之机。,平,,事多不定，与宗人朋友多不和，相互多猜忌，面和心不合，容易起是非。做官的没有升迁之机，需耐心等待。,凶,,或有丧亲，或有诉讼打官司之患。做官的须防被免职之忧。,凶,,亲友之间会互相猜忌，荣中有辱，结果会好些，凡事须多加提防则可吉祥。做官的若能兢兢业业，则有提拔之机遇，或会受到表彰。,平,,先难后易，是非不一。做官的会先贬后升。,平,,宜守常，不宜激进。做官的则多有出差的机会。,平,,,
14,离乾,离为火,2,乾为天,0,,大有,火天大有,正当好运，事事吉祥，大有收获，但需防物极必反，盛极转衰。,䷍,心绪不定，小人欺凌，很是艰辛，长辈或有灾难。做官的须急流勇退，不可贪婪荣华富贵。,平,,营谋得利，财利丰厚，但不利于老人的健康。做官的闲职者会受到重用。,吉,,有灾难，举步维艰，勿近小人。做官的会受到重任，读书人会取得很好的成绩。,平,,宜守常，则可避免伤害，眼睛方面或会出现病症。做官的须安于现状，不可激进，则可免祸。,平,,须相时而动，切不可骄傲自负，以免自取其祸。做官的宜退不宜进。,吉,,得到祖上之庇佑，一路好运。做官的以及读书人会进职成名。,吉,,,
15,坤艮,坤为地,7,艮为山,6,吉,谦,地山谦,吉利平安，步步高升。谦虚忍让者前途大好，骄横者必招败。谦受益，满招损。,䷎,宜远行或出游，出外做生意会发财。做官的须退守，不宜与人争利，出差的机会会多。,平,,不宜轻举妄动，宜退守。做官的会升迁，读书人会进取成名。,吉,,营谋得利，但会劳心劳力。做官的会高升。,吉,,无所不通，但做官的、读书人及商人宜固守退让，太盛则有过。,吉,,会得到贵人的帮助而成事，会获得利益，但须谨防生出祸端，与人争诉。当官的会文武兼用，利于进取。读书人会有金榜题名之机会。,平,,有争诉之扰，但会不辨自明。做官的须修德养身，进取有望。,平,,,
16,震坤,震为雷,3,坤为地,7,,豫,雷地豫,顺天应时，事事吉祥，可得长辈之助，但须防色难，切不可沉迷于声色欢场之中。,䷏,不顺，有口舌之争，前进有阻力。做官的不要得意忘形，须谨慎，以免生祸。读书人则可能会一鸣惊人。,凶,,会获利。做官的宜急流勇退，读书人有成名之机。,吉,,投机取巧，是非不一。,凶,,进取成名，经营获利。做官的会得到知己，进取有望。,吉,,多心事，有灾难，或有腹疾。做官的多洋洋得意，持恩固宠，难免有失。,凶,,因为心气太高，会有诉争之扰，但若能改过自新，心态平和，则不会有过失。做官的会有贪污之嫌，须明哲保身。,平,,,
17,兑震,兑为泽,1,震为雷,3,,随,泽雷随,宜随大势，其事可成。凡事与他人多沟通交流，可名利双收。切不可坚持己见，专横者事不成。,䷐,多获利。做官的正当好运，有升迁之机。,吉,,不安宁，或受小人的暗算，是非不断。当官的宜退守，进取者要有自知之明。,凶,,营谋遂意，但宜走正道，才能得利。做官的会得到保举而升迁有望。,平,,会得到好人的抬举，化凶为吉。做官的会身居要职，努力进取者可成事，可获得名利。,平,,营谋遂意，多喜庆之事，做官的会升职，或多喜事。,吉,,苦难多多，不很如意，重病者会有生命之忧。做官的须防止小人的谗言。,凶,,,
18,艮巽,艮为山,6,巽为风,4,,蛊,山风蛊,艰难迷惑之时，事事不如意;宜大胆革新，奋发图强，艰苦努力，可转危为安。,䷑,会得到祖先的庇佑，营谋遂意。做官的会受到重任，改革创新。,吉,,改旧从新，则会如意。女命勤俭持家，性忠直者多福。,平,吉,躁进者有失，不听信谗言者则无难。,凶,,事事见忧，有足疾。,凶,,多喜庆之事，家中或进人口。做官的进取有望，名誉远播。,吉,,宜守旧，好运者，多遇尊贵，能获得提拔。做官的宜退守，或告休。,平,,,
19,坤兑,坤为地,7,兑为泽,1,,临,地泽临,好运来到，诸事如意，人情和合，但行事不宜过于急进。,䷒,会交好运，营谋称意。做官的会得到众人的拥戴，能升迁。读书人参加考试者必能考出佳绩。,吉,,营谋获利，但宜认清时机，不然不能成事，美中不足。做官的会光明磊落，地位清高。,吉,,有忧愁，会受苦劳累。做官的会受到小人的谗言攻击，志不能伸。,凶,,人情和合，经营得利，但要成大事者，须谨慎而行，做好准备再进取。做官的会得到同僚的帮助。,平,,万事如意。做官的会得到上司的赏识。,吉,,多获利，无往不利，但谨防气势太盛而变衰。做官的会得到上司的器重，委以重用。,吉,,,
20,巽坤,巽为风,4,坤为地,7,,观,风地观,处身于变化之中，心神不宁，宜多观察入微，待机行事，切勿妄进。,䷓,宜防小人，诸事有困难，弄巧成拙。做官的有危难，不宜进取。,凶,,在家不如意，外出谋事则好，或喜或忧，或因妇人而起是非，大抵宜动不宜静。此爻女喜，男悲。,平,吉,三心二意，须谨慎行事，知难而退。做官的进退无常。,平,,宜出外谋事，多与外人交往，则有利。做官的或居闲职，清高之地。,平,,时来运转，利益丰厚，对于妇人则有怀孕之喜，病重者有生命之忧。做官的会因为自己良好的官德，爵禄有升。,吉,,运势不通，心有余而力不足，怀孕者利于生育，久病者会痊愈。做官的宜退守，修德养身。,平,,,
21,离震,离为火,2,震为雷,3,,噬嗑,火雷噬嗑,事不遂心，纷争难免，诸事被阻，宜坚守常规，不为利诱，可保平安。,䷔,宜谨慎行事，以免生祸端。做官的会遭到贬职。,凶,,进退艰难，是非不断，或生暗疾，骨肉有伤。做官的不会顺利，会有所纠结。,平,,不易成事，运气不顺，或生心腹之疾，或有惊险。做官的才力不及，有失。,凶,,经商必获利。做官的会升迁，读书人会成名。,吉,,行好运，有病的会痊愈，有冤的会昭雪，读书人进取成名，做官的会剪除小人。,吉,,须防争诉，不良者，耳目不明，血气不顺，或有生命之忧。做官的须防止小人的谗言而遭致贬职。,凶,,,
22,艮离,艮为山,6,离为火,2,,贲,山火贲,表面风光，内在空虚，多虚少实。宜充实自己，稳重行事，量力而为。,䷕,多奔波，静凶动吉。做官的须防退职之患。,平,,得人提拔，好运可期，但也要相时而动，不可随性而为，以免遭难。做官的会因人成事，升迁有望。,平,,好运来到，不必费力，自然荣盛，即使有是非纠纷，也不足为患。做官的与人和睦，能居要职。,吉,,先凶后吉，忧中有喜，虽有危险，终得安宁。未婚者，有望成家。做官的先难后易。,平,,会遇贵人，经营获利，多喜事。做官的闲职者会受到重用，在职者福禄双全。,吉,,须防好运转凶，家中、亲属有长辈或命终。做官的会升迁。,平,,,
23,艮坤,艮为山,6,坤为地,7,,剥,山地剥,时运不佳，多有损失，前进有阻，宜顺时而止，安份自守。,䷖,营谋不遂，或有手足之灾，或兄弟不睦，凶则家破身亡。做官的有升迁之机会，但宜见机行事。,凶,,营谋不遂，或受到小人的侵辱，或受到他人的猜忌。做官的须防被贬职。,凶,,难遇知己，生涯不顺，欲求名利，必须创新，此爻像父母妻子或有忧，须谨防。做官的会遇到明主或大官提拔。,平,,时运不佳，危难之时，多有争诉刑克之事。做官的须谨防小人的谗言，以免遭难。,凶,,人情和合，营谋得时，家和福生，妇人进财。做官的升高进职，居要位。读书人、学子考试必能考出佳绩。,吉,,须谨慎，踏实稳重者可无忧。商人生意买卖会不错。做官的会有权柄。,平,,,
24,坤震,坤为地,7,震为雷,3,,复,地雷复,时运好转，顺势而为，谋事可成，但不宜过于急进。,䷗,万事如意，经营获利。做官的会位高权重。读书人会取得佳绩。,吉,,与人共利，事业兴旺，病者痊愈。做官的遭贬者会复职。,吉,,事多反复，阴阳差错，时好时坏。做官的职位不稳定，更变无定。,平,,好运可期，营谋得利。做官的会复职。,平,,会有积蓄，但要谨防父亲出意外。做官的有升职之机会。,吉,,做事乖张，诸事不顺，静吉动凶。做官的会过于贪婪权力而有损。,凶,,,
25,乾震,乾为天,0,震为雷,3,,无妄,天雷无妄,顺其自然，守正道者，诸事皆宜。但行为不检者，必招灾祸。,䷘,营谋得利。做官的会得到上司的赞许，百姓的爱戴。,吉,,正当好运，不劳而获。富人进财多，商人出外获利。当官的会升官。读书人会取得佳绩。,吉,,无妄之灾，破财损身。做官的不宜进取。,凶,,宜守旧，图谋有实，不致虚浮。做官的宜守职，勿妄动。,平,,营谋有成，病得愈，或有生育之喜。做官的纵有祸难，也会不辩自明，不解自释。,平,,好运已过，不可妄动，否则是非迭生，唯有变通可免祸。做官的妄动有被贬职之忧。,平,,,
26,艮乾,艮为山,6,乾为天,0,,大畜,山天大畜,宜坚守正道，脚踏实地，务实行事，方可成就大业。切勿骄傲自满，目空一切。,䷙,宜守旧，不然会有不测之祸。做官的宜退居闲职，或退位。,凶,,须谨防是非，或有足疾、腰疾。,凶,,会得到长辈的重用，或知己相助，前运辛苦，后可有获。做官的会有实权。,平,,营谋有望，财富增加。做官的会有升迁之喜。,吉,,营谋遂意，多有喜庆之事。做官的会高升。,吉,,万事如意，心想事成，好运连连。做官的会得到上司的提拔，或被举荐而高升。读书人会进取成名。,吉,,,
27,艮震,艮为山,6,震为雷,3,,颐,山雷颐,对于言语及饮食，均须谨慎。宜守正道，谨言慎行，心怀阴谋者会招灾祸。,䷚,为争夺财利而起祸，大凡心底善良守正道者可无忧。做官的会受贿，失其廉。,凶,,大起大落，是非不一，凶者病致死。做官的须防被贬职。,凶,,运势低迷，荒诞无稽，甚至有生死离别之伤。做官的有丧名失节之患。,凶,,会得到好人的帮助，营谋遂意。做官的会得到祖上的恩惠，幸宠有加。,吉,,会有依靠，事可成，但不可乘船涉险。做官的会因人而功可成，位可保。,吉,,营谋有成，无往不利。做官的爵禄荣重。读书人会取得佳绩。,吉,,,
28,兑巽,兑为泽,1,巽为风,4,,大过,泽风大过,身心不安，事不如意，却又强意而行，大有后悔之时，谨防官非及水险。,䷛,谨慎行事，财利可固。凶者，防孝服之忧。做官的小心谨慎则禄位巩固。,平,,或娶妻纳妾，或生子，君子得少妻义子。做官的去位者会复职。,吉,,须防大难而遭致家产有失，或有足目之疾。做官的须谨防被贬职。,凶,,多有修造之事，可做大事，勿谋小事。做官的必能受到重用。读书人进取成名。,吉,,营谋不利，或喜中生忧，美事成丑；先逆后顺之象。做官的不可久任。,平,,不宜进取，退守为安，面部或有疾。做官的有功高震主身危之祸。,凶,,,
29,坎坎,坎为水,5,坎为水,5,,坎,坎为水,运气不佳，多难危险，事多困阻，宜谨言慎行，退守保安。,䷜,时运不佳，宜防跌入陷阱灾难之中。做官的须防小人。,凶,,有小成就，女命或为侍妾，凶者防险难或生心腹血气之疾。做官的会有小的成就，大事不成。,平,,多坎坷，多争诉之事。做官的宜退守。,凶,,多喜事，或有结婚之喜。做官的多饮食之乐。,平,,平淡无常，宜养精蓄锐。做官的没有危难，职位无忧。,平,,须防牢狱之灾。做官的须防职权旁落之忧。,凶,,,
30,离离,离为火,2,离为火,2,,离,离为火,宜谦虚谨慎，稳步进取，则前途光明。急进及意气用事者必有所损失。,䷝,须防无妄之灾，宜谨慎，或有足疾。做官的宜安守。,平,,财利可获。做官的会受到重用。读书人会取得佳绩。,吉,,乐中生悲，吉中生愁，险难迭生。做官的告休。,凶,,时运不济，困难重重，或和长辈不睦，或遭官灾。,凶,,不宜进取，宜守常。做官的在位者得志，退职者多险危。,平,,时运佳，多喜事，经营获利。做官的会功成名就，读书人会取得好成绩。,吉 ,,,
31,兑艮,兑为泽,1,艮为山,6,吉,咸,泽山咸,宜谦虚待人，则会吉祥如意，谋事可成。但勿为不正当感情而意乱情迷。,䷞,行事过急，多难成就。做官的须修身养性，等待机会，京官出，闲官起。,平,,奔波徒劳，宜静不宜动。做官的在位者吉，出差者有险。,平,,最好退守，做官的谨防被贬。,平,,朋友相助，可谋小事，大事有困难，心绪不定。做官的秉公执政，升迁有望。,平,,人情不合，营谋微小。做官的多与同僚不睦。,平,,多口舌之争，防止被他人诽谤，从事演讲、技艺、评论者吉。做官的或遭言责。,平,,,
32,震巽,震为雷,3,巽为风,4,,恒,雷风恒,须立身正道，坚守不易，持续努力，必能亨通。缺少毅力，朝三暮四者则不会成功。,䷟,人情乖离，前途渺茫，静守可免祸。做官的难于受到上司的赏识。,凶,,安分守己则无忧。做官的宜洁身自爱，谨慎行事。,平,,须防小人诽谤，争诉之扰。做官的须防被贬。,凶,,营谋费力，难以成事。做官的时运不济，有所退步。,凶,,多招毁谤，有所损失。做官的多阿谀权势而有失。,凶,,求名望利，小能成，大则无功，女人不利夫子。做官的会很劳累，多动少静。,凶,,,
33,乾艮,乾为天,0,艮为山,6,,遁、遯,天山遁、遯,宜退不宜进。退守可以保身，若轻举妄动则会招灾。宜谨言慎行，待机行事。,䷠,宜安分守己，可无忧。做官的宜择机而退。,凶,,家中有争执，安常守分无忧，农人有进牛畜之喜 。,平,,多灾多难，良善者，得妻之力，或进人口。做官的宜急流勇退。,平,,虽有收获，但谨防因小人而受祸。做官的宜告休避难。,平,,近贵多利。做官的或升迁，或功成身退。,吉,,营谋获利，家肥业厚。做官的乐天知命，退居闲职。,吉,,,
34,震乾,震为雷,3,乾为天,0,,大壮,雷天大壮,运势过于强盛，宜心平气和，谨慎行事，否则必生过失。,䷡,会有争诉，动则凶，须防足疾。做官的须防小人的谗言而受辱。,凶,,营谋得意。做官的中庸处事，心中无愧。,吉,,或有官司之事，或家中有丧，人财不利。做官的多祸难，进退难安。,凶,,常人得福，久静者必动，动则吉。做官的闲职者复职，进取如意。,吉,,一筹莫展，不能得利，病者有丧身之兆。做官的会荒于政务。,凶,,进退两难，多是非争诉，宜守常。做官的宜退不宜进，恐有遭贬之危。,平,,,
35,离坤,离为火,2,坤为地,7,,晋,火地晋,如旭日东升，气运旺盛，收入颇丰，谋事可成，百事如意。,䷢,忧愁参半，静则吉，动则凶。做官的不宜进取，须防流言。,平,,求谋称意，多得母亲扶助，或得妻财。做官的守正者会进取。,吉,,得朋友之助，营谋遂意，但谨防意外之险。做官的有升迁之机。,平,,时运不佳，或有争诉。做官的不宜进取，有阻力，须守正。,凶,,好运到来，营谋获利。做官的有升迁之喜。,吉,,有修屋宇之喜，不良者有争诉之忧。做官的有食邑之荣。,平,,,
36,坤离,坤为地,7,离为火,2,,明夷,地火明夷,时运不佳，事事劳苦，宜坚守正道，忍耐自重，等待时机。,䷣,或有手足之伤，善者有进财纳福之喜。做官的有飞黄腾达之象，但谨防有失。,平,,常人或有难，但会得贵人之助。做官的会有实权，能当大任。读书人会取得好成绩。,吉,,有修屋宇造作之兆。不良者，左股或有伤，多忧愁分离之患。,平,,出外营谋者会顺利，妇人有孕者生男，不良者或生心腹之疾。做官的闲职者会复职，在职者，多出外任职，韬光养晦者必出身成名。,平,,难逢知己，或有家难之祸。做官的须修德养性可保无忧。,平,,先喜后忧，老者或不寿。做官的防止遭人流言，或被贬。,凶,,,
37,巽离,巽为风,4,离为火,2,,家人,风火家人,与人合作共事者会有利，且多有喜事之象，家庭和睦者，能同心协力，发展事业。,䷤,谋事有成，未婚者会结婚，老者不利于寿。做官的闲职者会晋升有实权，当职者则权力旁落。,平,,营谋成家，多喜事。做官的会荣华富贵。,吉,,忧喜参半，谨防沉迷于享乐中。做官的严而少宽恕之恩。,凶,,时运正佳，贵人提拔，孤寡见亲。做官的仕途顺利，升迁有望。,吉,,营谋得利，会得到贵人的提携。做官的显贵，进取有望。,吉,,营谋称意，女命更好。做官的位高权重，读书人进取成名。,吉,,,
38,离兑,离为火,2,兑为泽,1,,睽,火泽睽,运气不佳，水火不容，相互矛盾，诸事难成。,䷥,营谋先失而后得，人事先离而后合，谨防凶恶之灾患。做官的闲职者复职，被贬者复升。,平,,会得知己，营谋遂意。做官的会遇到明主，升迁有望。,平,,谋望有阻，险中求安，先迷后顺。不良者有骨肉刑伤之厄。做官的须防小人的谗言。,凶,,能得到朋友的帮助，转危为安，求婚者必配。做官的会得到同僚的推荐，升迁有机。,平,,经营获利，抬举有人。不良者，亲朋怨恶，骨肉刑伤，官司牵连。做官的会获得成就与名望，读书人会取得佳绩。,平,,遭污受诬，先损后益。做官的须防被诽谤之忧。,平,,,
39,坎艮,坎为水,5,艮为山,6,,蹇,水山蹇,身心忧苦，举步维艰，宜守正道，不可妄动，涉险境者会有灾难。,䷦,宜守旧安常。做官的稳步进取，好运将至。,平,,涉艰历险，营谋有阻。做官的宜保持忠贞，报效国家。,凶,,不宜进取，或有妻子之喜。做官的位高者会晋升。,平,,不良者会有争诉。做官的进升有机，求名望利皆有实而不虚。,凶,,会得到贵人提举，无往不利。,吉,,好运来到，营谋遂意。做官的会身居要职，读书人进取成名。,吉,,,
40,震坎,震为雷,3,坎为水,5,,解,雷水解,能解脱先前之困难，宜把握良机，求谋事业，出外谋事者更佳。,䷧,经营者吉，未婚者配。做官的德位相称，晋升有望，读书人会取得好成绩。,平,,正当好运，财利可获。做官的会荣华富贵，读书人会取得佳绩。,吉,,须防窃盗，是非诉讼。做官的谨防被贬之忧。,凶,,须防小人，或有交友不慎之祸。,凶,,正当好运，君子有利，病者愈。做官的会身居要职。,吉,,运途顺利，多营谋获利。做官的闲职者会复职，居要位。,吉,,,
41,艮兑,艮为山,6,兑为泽,1,,损,山泽损,损己利人，虽然开始会有所不顺，但付出总会有所回报，因祸得福之象。,䷨,谋事得当，可获利，不良者，或因酒食误事。做官的会因为工作忙碌而顾不得家庭，声望日盛。,平,,宜谨守勿动。做官的时机未成熟，难于升迁。,凶,,合力经营，获利者多，未婚者配。做官的与同僚关系融洽，进取有望。,平,,多喜庆之事，有灾者转好运，有病者愈，有忧者转喜。做官的闲职者将被起复。,平,,运势大好，财利丰富。做官的会得到领导的赞赏和提拔。读书人会取得佳绩。,吉,,贵人扶持，财利可期。做官的会得到下属的爱戴，领导的器重。,吉,,,
42,巽震,巽为风,4,震为雷,3,,益,风雷益,正当好运，奋发图进，得人帮助，能获名利。,䷩,大事可成，万事称心。做官的会高升，读书人会取得大的成绩。,吉,,商贾获利，福份多多。做官的仕途一帆风顺，读书人进取成名。,吉,,常人获利，不良者大凶，官灾祸患并至。做官的会受到重用，委以重职。,平,,或会迁居，或有修造，诉者利，官者伸。做官的会被领导委以重任。,平,,谋望称意，事多顺利。做官的会遇到明主，仕途顺利。,吉,,贪图名利，或有意外之祸，刑克损伤之灾。做官的因为贪求名位，或被贬职。,凶,,,
43,兑乾,兑为泽,1,乾为天,0,,夬,泽天夬,大运将过，困难将至，宜提高警惕，谨言慎行。,䷪,会有无妄之灾，宜静守。做官的躁动者有损。,凶,,多忧愁，多惊险，谨防盗窃之事发生。做官的多掌兵权。,凶,,会有争诉之忧，品行端正者无忧，初见艰难，终得安乐。做官的除奸不成，反被倒咬一口。,凶,,心绪不定，所谋不成。做官的有心而力不足，难于升迁。,凶,,营谋遂意，诉者伸，有病者愈。做官的须防奸邪之辈侵害。,平,,营谋不成，宜守常，不良者，骨肉刑克，是非缠绕。做官的难于久任，激流勇退为佳。,凶,,,
